idea_id,tenant_id,owner_user_id,owner_display_name,title,status,current_stage,deployment_status,value_score,risk_score,feasibility_score,integration_complexity,security_risk,data_readiness,has_architecture_package,monthly_token_quota_base,extra_quota_current_month,quota_month,created_at,updated_at
cef1160a-16f7-4b91-9b09-b7319aa4bac0,contoso-demo,demo-user-001,Demo User,Detección de Fraude Mejorada con Análisis Behavioral,draft,idea_intake,development,0,0,0,0,0,0,0,250000,0,,2026-07-28T21:32:04.943403,2026-07-28T23:32:04.952041
334b47b0-de1d-4d0d-85b2-618fd277b9a9,contoso-demo,demo-user-001,Demo User,Detección de Fraude Mejorada con Análisis Behavioral,draft,idea_intake,development,0,0,0,0,0,0,0,250000,0,,2026-07-28T21:23:20.439041,2026-07-28T23:23:20.454843
9dd2ebc1-9566-41a8-937c-368e956d6558,contoso-demo,demo-user-001,Demo User,Detección de Fraude Mejorada con Análisis Behavioral,draft,idea_intake,development,0,0,0,0,0,0,0,250000,0,,2026-07-28T20:14:20.183159,2026-07-28T22:14:20.195229
85f5110c-5a7c-486e-ad7d-580ae810a7ca,contoso-demo,demo-user-001,Demo User,KYC Automation con Validación Biométrica,needs_clarification,business_validation,development,78,45,0,0,0,0,0,250000,0,,2026-07-28T19:32:04.948784,2026-07-28T23:32:04.997441
3e5567ed-80f6-49ce-9382-cc575bb4a4bf,contoso-demo,demo-user-001,Demo User,KYC Automation con Validación Biométrica,needs_clarification,business_validation,development,78,45,0,0,0,0,0,250000,0,,2026-07-28T19:23:20.449355,2026-07-28T23:23:20.509404
45524450-ea80-48ae-be01-dcae1edd019e,contoso-demo,demo-user-001,Demo User,KYC Automation con Validación Biométrica,needs_clarification,business_validation,development,78,45,0,0,0,0,0,250000,0,,2026-07-28T18:14:20.190860,2026-07-28T22:14:20.270091
dfcf2676-07cd-44fb-af3b-9062e436cfba,contoso-demo,demo-user-001,Demo User,Análisis de Sentimiento en Soporte IA,business_viable,business_validation,development,85,20,0,0,0,0,0,250000,0,,2026-07-28T17:32:04.949308,2026-07-28T23:32:05.049645
afbea8b9-fc56-472c-aacd-c7fcafb7cd08,contoso-demo,demo-user-001,Demo User,Análisis de Sentimiento en Soporte IA,business_viable,business_validation,development,85,20,0,0,0,0,0,250000,0,,2026-07-28T17:23:20.449895,2026-07-28T23:23:20.557212
549f582e-dd06-44e4-9606-6fe53b421fe1,contoso-demo,demo-user-001,Demo User,Análisis de Sentimiento en Soporte IA,business_viable,business_validation,development,85,20,0,0,0,0,0,250000,0,,2026-07-28T16:14:20.191482,2026-07-28T22:14:20.350844
6447cd5e-b502-45e8-9cc7-4655ce5d8e22,contoso-demo,demo-user-001,Demo User,Optimización de Procesos KYC con Análisis de Documentos IA,needs_clarification,business_validation,development,75,40,0,0,0,0,0,250000,0,,2026-07-23T22:01:36.676947,2026-07-28T22:01:36.768171
